,Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT,Label,Pos_home,P_home,GD_home,Form Score_home,Pos_away,P_away,GD_away,Form Score_away,H2H Home Points,H2H Away Points
171,416195,Southampton,Nottingham,0,1,0,1,-1,20,25,-37,4.2998,16,38,-30,19.6514,3,6
172,416198,Leeds United,West Ham,1,1,2,2,0,19,31,-30,2.0736,14,40,-13,13.278,4,1
173,416200,Crystal Palace,Tottenham,0,0,0,4,-1,11,45,-9,16.5066,8,60,7,17.2195,6,6
174,416203,Aston Villa,Wolverhampton,0,1,1,1,0,7,61,5,22.1062,13,41,-27,7.306,11,2
175,416201,Chelsea,Man City,0,0,0,1,-1,12,44,-9,8.7398,1,89,61,16.5268,5,8
176,416321,Fulham,Chelsea,1,0,2,1,1,10,52,2,13.5268,12,44,-9,8.7398,7,4
177,416194,Aston Villa,Leeds United,1,0,2,1,1,7,61,5,22.1062,19,31,-30,2.0736,4,1
178,416189,Man United,Man City,0,0,2,1,1,3,75,15,32.3982,1,89,61,16.5268,9,3
179,416185,Wolverhampton,West Ham,0,0,1,0,1,13,41,-27,7.306,14,40,-13,13.278,9,3
180,416187,Nottingham,Leicester City,0,0,2,0,1,16,38,-30,19.6514,18,34,-17,16.8854,6,0
181,416190,Everton,Southampton,1,0,1,2,-1,17,36,-23,21.2054,20,25,-37,4.2998,0,6
182,416192,Brighton Hove,Liverpool,0,0,3,0,1,6,62,19,12.2068,5,67,28,20.8266,8,2
183,416193,Brentford,Bournemouth,1,0,2,0,1,9,59,12,31.0782,15,39,-34,3.0,5,5
184,416188,Newcastle,Fulham,0,0,1,0,1,4,71,35,14.9466,10,52,2,13.5268,9,6
185,416191,Chelsea,Crystal Palace,0,0,1,0,1,12,44,-9,8.7398,11,45,-9,16.5066,7,7
186,416186,Tottenham,Arsenal,0,2,0,2,-1,8,60,7,17.2195,2,84,45,20.2195,4,10
187,416322,Crystal Palace,Man United,0,1,1,1,0,11,45,-9,16.5066,3,75,15,32.3982,8,5
188,416317,Man City,Tottenham,0,2,4,2,1,1,89,61,16.5268,8,60,7,17.2195,7,4
189,416178,Liverpool,Chelsea,0,0,0,0,0,5,67,28,20.8266,12,44,-9,8.7398,6,3
190,416175,West Ham,Everton,2,0,2,0,1,14,40,-13,13.278,17,36,-23,21.2054,6,6
191,416176,Southampton,Aston Villa,0,0,0,1,-1,20,25,-37,4.2998,7,61,5,22.1062,3,3
192,416179,Leicester City,Brighton Hove,1,1,2,2,0,18,34,-17,16.8854,6,62,19,12.2068,4,1
193,416183,Bournemouth,Nottingham,1,0,1,1,0,15,39,-34,3.0,16,38,-30,19.6514,3,9
194,416182,Crystal Palace,Newcastle,0,0,0,0,0,11,45,-9,16.5066,4,71,35,14.9466,8,2
195,416177,Man City,Wolverhampton,1,0,3,0,1,1,89,61,16.5268,13,41,-27,7.306,9,3
196,416180,Leeds United,Brentford,0,0,0,0,0,19,31,-30,2.0736,9,59,12,31.0782,4,1
197,416184,Arsenal,Man United,1,1,3,2,1,2,84,45,20.2195,3,75,15,32.3982,9,3
198,416181,Fulham,Tottenham,0,1,0,1,-1,10,52,2,13.5268,8,60,7,17.2195,9,3
199,416171,Chelsea,Fulham,0,0,0,0,0,12,44,-9,8.7398,10,52,2,13.5268,7,4
200,416170,Everton,Arsenal,0,0,1,0,1,17,36,-23,21.2054,2,84,45,20.2195,9,3
201,416165,Wolverhampton,Liverpool,2,0,3,0,1,13,41,-27,7.306,5,67,28,20.8266,9,6
202,416169,Man United,Crystal Palace,1,0,2,1,1,3,75,15,32.3982,11,45,-9,16.5066,8,5
203,416172,Brighton Hove,Bournemouth,0,0,1,0,1,6,62,19,12.2068,15,39,-34,3.0,9,3
204,416173,Brentford,Southampton,2,0,3,0,1,9,59,12,31.0782,20,25,-37,4.2998,6,3
205,416174,Aston Villa,Leicester City,2,3,2,4,-1,7,61,5,22.1062,18,34,-17,16.8854,0,9
206,416168,Newcastle,West Ham,1,1,1,1,0,4,71,35,14.9466,14,40,-13,13.278,5,5
207,416167,Nottingham,Leeds United,1,0,1,0,1,16,38,-30,19.6514,19,31,-30,2.0736,6,0
208,416166,Tottenham,Man City,1,0,1,0,1,8,60,7,17.2195,1,89,61,16.5268,7,4
209,416309,Man United,Leeds United,0,1,2,2,0,3,75,15,32.3982,19,31,-30,2.0736,1,4
210,416155,West Ham,Chelsea,1,1,1,1,0,14,40,-13,13.278,12,44,-9,8.7398,10,4
211,416156,Southampton,Wolverhampton,1,0,1,2,-1,20,25,-37,4.2998,13,41,-27,7.306,3,3
212,416159,Leicester City,Tottenham,3,1,4,1,1,18,34,-17,16.8854,8,60,7,17.2195,7,1
213,416161,Fulham,Nottingham,1,0,2,0,1,10,52,2,13.5268,16,38,-30,19.6514,9,6
214,416162,Crystal Palace,Brighton Hove,0,0,1,1,0,11,45,-9,16.5066,6,62,19,12.2068,8,2
215,416164,Arsenal,Brentford,0,0,1,1,0,2,84,45,20.2195,9,59,12,31.0782,4,7
216,416163,Bournemouth,Newcastle,1,1,1,1,0,15,39,-34,3.0,4,71,35,14.9466,7,4
217,416160,Leeds United,Man United,0,0,0,2,-1,19,31,-30,2.0736,3,75,15,32.3982,1,4
218,416157,Man City,Aston Villa,3,0,3,1,1,1,89,61,16.5268,7,61,5,22.1062,10,1
219,416158,Liverpool,Everton,1,0,2,0,1,5,67,28,20.8266,17,36,-23,21.2054,10,1
220,416274,Arsenal,Man City,1,1,1,3,-1,2,84,45,20.2195,1,89,61,16.5268,8,5
221,416154,Aston Villa,Arsenal,2,1,2,4,-1,7,61,5,22.1062,2,84,45,20.2195,6,9
222,416145,Wolverhampton,Bournemouth,0,0,0,1,-1,13,41,-27,7.306,15,39,-34,3.0,1,10
223,416147,Nottingham,Man City,0,1,1,1,0,16,38,-30,19.6514,1,89,61,16.5268,7,4
224,416150,Everton,Leeds United,0,0,1,0,1,17,36,-23,21.2054,19,31,-30,2.0736,4,1
225,416151,Chelsea,Southampton,0,1,0,1,-1,12,44,-9,8.7398,20,25,-37,4.2998,3,3
226,416152,Brighton Hove,Fulham,0,0,0,1,-1,6,62,19,12.2068,10,52,2,13.5268,7,4
227,416153,Brentford,Crystal Palace,0,0,1,1,0,9,59,12,31.0782,11,45,-9,16.5066,9,3
